1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,3,0,3,0,4,0,0,0,0,0,0,0,0,0,5
1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,3,0,4,0,3,3,2,3,2,3,3,3,3,5
1,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,4,0,3,3,2,3,2,3,3,3,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
